Used 2012 Nissan Sentra SR,11998,35426,Red,Gray,CarMax Omaha,Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2014 Hyundai Elantra Sport Sedan,14998,25507,Red,Gray,CarMax Omaha,Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2010 Audi A4 2.0T Premium Plus quattro Sdn,16998,53432,Blue,Gray,CarMax Omaha,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,22 photos,1 video,sedan
Used 2013 Kia Optima SX,17998,35520,Red,Black,CarMax Omaha,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Chevrolet Impala LTZ,27998,4824,White,Black,CarMax Omaha,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2016 Toyota Avalon XLE Plus,28900,3951,Parisian Night,Almond,Village Pointe Toyota,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,37 photos,1 video,sedan
Used 2014 Cadillac XTS Vsport Platinum AWD,36998,23409,Black,Black,CarMax Omaha,6 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,23 photos,1 video,sedan
Used 2012 Honda Accord EX-L,15998,59866,Black,Black,CarMax Omaha,5 Speed Automatic,4 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2012 Mercedes-Benz C300 Sport Sedan,17998,58315,Black,Gray,CarMax Omaha,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2014 Honda Civic EX-L,17998,38805,White,Black,CarMax Omaha,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2014 Cadillac CTS Luxury Sedan,24998,35943,Red,Beige,CarMax Omaha,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,23 photos,1 video,sedan
Used 2016 INFINITI Q50 Premium,25998,12522,Red,Black,CarMax Omaha,7 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,23 photos,1 video,sedan
Certified 2011 Toyota Corolla LE,11600,19035,Sandy Beach Metallic,Bisque,Village Pointe Toyota,4 Speed Automatic,4 Cylinder,Four Door Sedan,34 photos,1 video,sedan
Used 2008 Nissan Altima SL,11998,79954,Red,Black,CarMax Omaha,Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2013 Buick Verano,13599,29472,Brown,Cream,CarMax Omaha,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,21 photos,1 video,sedan
Used 2010 Volvo S80 3.2,13790,61308,Savile Gray,Black W/Leather Seat Trim,Gorges Volvo,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,37 photos,1 video,sedan
Used 2015 Nissan Sentra S,13900,19651,Silver,NA,Todd Archer Hyundai,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,41 photos,1 video,sedan
