Used 2001 Volvo S40,4999,134999,Silver,Gray,Select Motors - KS,4 Speed Automatic,4 Cylinder Turbo,Four Door Sedan,23 photos,NA,sedan
Used 2012 Chevrolet Cruze LT,10997,36012,Red,Black,Select Motors - KS,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,22 photos,1 video,sedan
Used 2012 Acura TSX Sedan,13687,68125,Silver,NA,Advantedge Quality Cars,5 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2015 Chevrolet Cruze LT,13998,14990,White,Black,CarMax Wichita,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,22 photos,1 video,sedan
Used 2014 Honda Civic EX Sedan,15599,29817,Black,Black,CarMax Wichita,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2015 Toyota Corolla LE Eco Plus,15998,15566,Blue,Gray,CarMax Wichita,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2015 Mitsubishi Lancer GT Sedan,16998,9986,Red,Black,CarMax Wichita,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 S,16998,17504,Gray,Black,CarMax Wichita,Automatic,4 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2014 Chrysler 300 S,20998,25319,Gray,Black,CarMax Wichita,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2014 Chrysler 300 S,21998,24274,Gray,Black,CarMax Wichita,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2013 Lexus ES 350,24599,29238,Silver,Black,CarMax Wichita,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2015 Subaru WRX Premium,25998,18301,Black,Black,CarMax Wichita,6 Speed Manual,4 Cylinder Turbo,Four Door Sedan,22 photos,1 video,sedan
Used 2015 Lexus ES 350,28998,19679,Black,Black,CarMax Wichita,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2001 Ford Taurus SES Sedan,4995,62397,Silver,NA,Advantedge Quality Cars,4 Speed Automatic with Electronic Overdrive,6 Cylinder,Four Door Sedan,17 photos,1 video,sedan
Used 2006 Volkswagen Jetta 2.5 Sedan,6499,92273,Black,Charcoal,Premier Auto Sales,Automatic,5 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2007 Chevrolet Impala LT,7997,85768,Silver,Gray,Select Motors - KS,4 Speed Automatic,6 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2009 Dodge Charger SXT,9995,62550,Red,NA,Advantedge Quality Cars,Automatic,6 Cylinder,Four Door Sedan,17 photos,1 video,sedan
Used 2005 Honda Accord EX-L Sedan,9997,48065,Beige,Beige,Select Motors - KS,5 Speed Automatic,4 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2008 Cadillac DTS Luxury II,10999,73464,Pearl White,Gray,Select Motors - KS,4 Speed Automatic,8 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2011 Buick Regal CXL,11997,59310,White,Saddle,Select Motors - KS,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2011 BMW 328i Sedan,12800,87301,Blue Water Metallic,Beige,Don Hattan Chevrolet,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,40 photos,NA,sedan
Used 2008 BMW 528xi Sedan,13990,83824,Silver,Gray,Elite Auto Sales,Automatic,6 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2014 Ford Fusion SE,14599,38335,Silver,Black,CarMax Wichita,6 Speed Manual,4 Cylinder Turbo,Four Door Sedan,22 photos,1 video,sedan
Used 2010 Mercedes-Benz C300 Luxury Sedan,14999,57317,Gray,Beige,Select Motors - KS,Automatic,6 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2014 Nissan Altima SL,15998,33535,Silver,Gray,CarMax Wichita,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2000 BMW M5,16999,82011,Blue,Black,Select Motors - KS,6 Speed Manual,8 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2015 Chrysler 300 Limited,17487,40165,Blue,NA,Advantedge Quality Cars,8 Speed Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Ford Fusion SE,17998,22824,Green,Black,CarMax Wichita,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,23 photos,1 video,sedan
Used 2013 Subaru Legacy 3.6R Limited,17999,46007,Pearl White,Beige,Select Motors - KS,5 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2013 Hyundai Genesis 3.8,18761,53663,Black,NA,Midwest KIA,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,30 photos,NA,sedan
Used 2009 Mercedes-Benz CLS550,19999,63152,Silver,Black,Select Motors - KS,7 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2014 Toyota Avalon XLE Touring,22998,34143,Burgundy,Gray,CarMax Wichita,Continuously Variable Automatic,Hybrid,Four Door Sedan,23 photos,1 video,sedan
