Certified 2014 Lexus GS 350 AWD,36995,12527,Liquid Platinum,Cabernet,Ira Lexus of Manchester,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2007 Mazda MAZDA6 s,7967,51534,Redfire Metallic,NA,Manchester Subaru,Automatic,6 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2016 Subaru Impreza 2.0i Sedan,17467,7495,Jasmine Green Metallic,NA,Manchester Subaru,5 Speed Manual,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Certified 2014 Lexus ES 350,28999,28943,Nebula Gray Pearl,Light Gray,Ira Lexus of Manchester,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2008 Volkswagen Passat VR6 4Motion Sedan,9967,92735,Arctic Blue Silver,NA,Manchester Subaru,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2006 Subaru Outback 3.0R L.L. Bean Sedan,9995,76999,Black,NA,S & J Motor Company Inc.,5 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,27 photos,NA,sedan
Used 2012 Chevrolet Malibu LT V6,10400,37772,Silver,Black,AutoMart,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,30 photos,1 video,sedan
Used 2012 Honda Civic LX Sedan,10967,61532,Taffeta White,NA,Manchester Subaru,5 Speed Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2012 Subaru Legacy 2.5i Premium,13995,39724,Black,NA,S & J Motor Company Inc.,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,26 photos,NA,sedan
Used 2014 Subaru Legacy 2.5i,16967,33275,Venetian Red Pearl,NA,Manchester Subaru,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2004 Chevrolet Impala LS,4995,100906,Dark Gray,Gray,AutoMart,4 Speed Automatic,6 Cylinder,Four Door Sedan,37 photos,1 video,sedan
Used 2013 Ford Fiesta SE Sedan,7467,94397,Tuxedo Black Metallic,NA,Manchester Subaru,Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2013 Dodge Dart SXT,8967,80605,Tungsten Metallic Clear Coat,NA,Manchester Subaru,Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2013 Nissan Altima 2.5 SV Sedan,10967,76875,Java,NA,Manchester Subaru,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2013 Volkswagen Jetta SE,10967,48130,Tempest Blue Metallic,NA,Manchester Subaru,6 Speed Shiftable Automatic,5 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2013 Honda Civic LX Sedan,11967,71633,Polished Metal Metallic,NA,Manchester Subaru,5 Speed Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2014 Ford Taurus Limited,12967,80580,Sterling Gray Metallic,NA,Manchester Subaru,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2014 Toyota Corolla,12967,40703,Black Sand Mica,Steel Gray,Manchester Subaru,Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2009 Mercedes-Benz C300 4MATIC Sedan,12995,89830,Grey,Select,Kane's Auto Sales LLC,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,33 photos,1 video,sedan
Used 2012 Toyota Camry,13100,64837,Black,Black,Mercedes-Benz of Manchester,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,31 photos,NA,sedan
Used 2012 Toyota Camry,13467,65541,Magnetic Gray Metallic,NA,Manchester Subaru,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2007 Lexus GS 350 AWD,14495,73997,Silver,NA,Kane's Auto Sales LLC,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,32 photos,1 video,sedan
Used 2011 BMW 328i xDrive Sedan,16495,40762,Black,Black,Kane's Auto Sales LLC,Automatic,6 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2014 Subaru Legacy 3.6R Limited,17967,74844,Twilight Blue Metallic,NA,Manchester Subaru,5 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2015 Subaru Legacy 2.5i Premium,18967,30191,Venetian Red Pearl,NA,Manchester Subaru,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2011 BMW 328i xDrive Sedan,18995,21268,Grey,Beige,Kane's Auto Sales LLC,Automatic,6 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2011 BMW 550i Sedan,19995,85504,Gray,Beige,Kane's Auto Sales LLC,Automatic,8 Cylinder Turbo,Four Door Sedan,33 photos,NA,sedan
Used 2014 INFINITI Q50 Premium,28670,20369,Moonlight White,Wheat,Team Nissan,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,18 photos,1 video,sedan
Used 2008 Volkswagen Jetta S Sedan,4500,83855,White,Beige,Advance Auto Group LLC,5 Speed Manual,5 Cylinder,Four Door Sedan,31 photos,NA,sedan
Used 2007 Saturn ION Level 2 Sedan,5495,64559,Gray,NA,S & J Motor Company Inc.,4 Speed Automatic,4 Cylinder,Four Door Sedan,25 photos,NA,sedan
Used 2000 Toyota Camry LE Sedan,5995,52171,Blue,NA,S & J Motor Company Inc.,4 Speed Automatic,4 Cylinder,Four Door Sedan,22 photos,NA,sedan
Used 2009 Nissan Altima 2.5,6995,127705,Grey,Select,Kane's Auto Sales LLC,NA,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2005 Honda Civic LX Sedan,6995,74035,Silver,NA,S & J Motor Company Inc.,4 Speed Automatic,4 Cylinder,Four Door Sedan,23 photos,NA,sedan
Used 2010 Chevrolet Aveo Sedan,6995,57988,Maroon,NA,S & J Motor Company Inc.,4 Speed Automatic,4 Cylinder,Four Door Sedan,26 photos,NA,sedan
Used 2008 Nissan Altima 2.5,7995,90664,Black,Black,Kane's Auto Sales LLC,Automatic,4 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2008 Honda Accord EX-L,8495,138561,Black,Black,Kane's Auto Sales LLC,5 Speed Automatic,6 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2009 Pontiac G6 Sedan,8500,45168,Blue,Charcoal,Windham Auto Sales,Automatic,4 Cylinder,Four Door Sedan,17 photos,NA,sedan
Used 2008 Chevrolet Impala LT,8995,41078,Black,NA,S & J Motor Company Inc.,4 Speed Automatic,6 Cylinder,Four Door Sedan,27 photos,NA,sedan
Used 2008 Volvo S40 2.4i,8995,63061,Blue,NA,S & J Motor Company Inc.,5 Speed Automatic,5 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2011 Volkswagen Jetta SEL,9495,72236,Black,Black,Kane's Auto Sales LLC,6 Speed Shiftable Automatic,5 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2010 Honda Accord LX Sedan,9795,65930,Basque Red Pearl,Ivory,MINI of Bedford,5 Speed Automatic,4 Cylinder,Four Door Sedan,22 photos,NA,sedan
Used 2013 Nissan Sentra S,9994,50149,Gray,Silver,Team Nissan,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,18 photos,1 video,sedan
Used 2010 Nissan Altima 2.5,9995,84343,Gray,Black,Kane's Auto Sales LLC,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2012 Chevrolet Malibu LT,9995,70187,Silver,Black,Kane's Auto Sales LLC,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,26 photos,1 video,sedan
