Used 2012 Hyundai Sonata GLS,10499,81257,Harbor Gray Metallic,Gray,Moses Cadillac Buick GMC,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2009 Cadillac CTS 3.6 AWD,12286,70143,Crystal Red Tintcoat,Ebony/Ebony,Moses Ford Lincoln,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2013 Toyota Camry SE,12869,72209,Classic Silver Metallic,Black,Moses Ford Lincoln,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Chevrolet Cruze LT,12988,23661,Tungsten Metallic,Jet Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Chevrolet Malibu LT,16360,21707,Crystal Red Tintcoat,Jet Black,C & O Chevrolet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chevrolet Malibu LT,16874,19750,Black Granite Metallic,Jet Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2012 Dodge Charger SXT,18451,36582,White,Black,Moses Ford Lincoln,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Buick Regal,19306,8484,Emerald Green Metallic,Ebony,Moses Ford Lincoln,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Certified 2014 Buick LaCrosse Leather,19939,25544,Quicksilver Metallic,Ebony,Moses Cadillac Buick GMC,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Buick LaCrosse Leather,21487,26994,White Diamond Tricoat,Choccachino,Moses Factory Outlet,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2013 Mercedes-Benz C300 Luxury Sedan,22994,35130,Diamond White Metallic,Black,Astorg Auto of Charleston,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2014 Toyota Avalon Limited,25662,21448,Creme Brulee Mica,Almond,Moses Factory Outlet,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Cadillac ATS 2.0T Luxury AWD Sedan,26779,9098,White Diamond Tricoat,Light Platinum W/Brownstone Ac,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Maserati Ghibli,52913,3764,Bianco,Sabbia,Astorg Auto of Charleston,8 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2011 Nissan Altima 2.5 SL Sedan,10880,64539,Brilliant Silver Metallic,Charcoal,Moses Ford Lincoln,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2010 Lincoln MKZ AWD,10902,92845,Tuxedo Black Metallic,Steel Gray,Moses Ford Lincoln,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2011 Toyota Camry LE,11990,42522,Super White,Tan,Davids Appalachian Autosports LLC,Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Certified 2014 Chevrolet Cruze LT,12621,32323,Red Hot,Jet Black,C & O Chevrolet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2013 Chevrolet Malibu LT,12739,52896,Champagne Silver Metallic,Jet Black,C & O Chevrolet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Ford Fusion SE,14342,40012,Sunset,Ebony,C & O Chevrolet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2017 Chevrolet Cruze LS Sedan,15912,4129,Arctic Blue Metallic,Jet Black,C & O Chevrolet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Toyota Camry SE,16003,28548,Barcelona Red Metallic,Black/Ash 2-Tone,Moses Toyota,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Kia Optima EX,16318,33609,Ebony Black,Beige,C & O Chevrolet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Nissan Maxima 3.5 SV,17903,35508,Gun Metallic,Charcoal,Moses Factory Outlet,Continuously Variable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Ford Fusion SE AWD,18202,19481,White Platinum Metallic Tri-Coat,Ebony,C & O Chevrolet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Lexus IS 250 AWD,27199,22873,Atomic Silver,Light Gray,Moses Cadillac Buick GMC,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2015 Toyota Avalon Limited,28547,26113,Celestial Silver Metallic,Black,Moses Ford Lincoln,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Cadillac CTS Luxury AWD Sedan,29351,26323,Black Raven,Jet Black W/Jet Black Accents,Moses Factory Outlet,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Cadillac CTS Luxury AWD Sedan,29596,17595,White Diamond Tricoat,Light Cashmere W/Medium Cashme,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Mercedes-Benz S63 AMG 4MATIC Sedan,123912,6789,Black,Porcelain/Black,Astorg Auto of Charleston,7 Speed Shiftable Automatic,8 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2012 Ford Fusion SE,8845,91936,Black,Charcoal Black,C & O Chevrolet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Kia Forte LX Sedan,9990,38868,Bright Silver,Black,Davids Appalachian Autosports LLC,Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2011 Kia Optima SX,11431,90102,Ebony Black,Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Hyundai Elantra SE,11555,44194,Venetian Red,Gray,Moses Cadillac Buick GMC,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 Limited,12674,42524,Granite Crystal Metallic Clearcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2013 Toyota Camry LE,12735,69307,Super White,Gray,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Chevrolet Cruze LT,12789,29748,Blue,Jet Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 Limited,12838,50881,Bright White Clearcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 Limited,12934,43220,Granite Crystal Metallic Clearcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 Limited,12990,52093,Velvet Red Pearlcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 Limited,12998,49908,Granite Crystal Metallic Clearcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Chrysler 200 Limited Sedan,13007,48105,Crystal Blue Pearlcoat,Black,C & O Chevrolet,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Honda Civic LX Sedan,13249,30164,Dyno Blue Pearl,Black,Davids Appalachian Autosports LLC,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,22 photos,NA,sedan
Used 2015 Chrysler 200 Limited,13484,48343,Crystal Blue Pearlcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 Limited,13664,49752,Velvet Red Pearlcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chevrolet Cruze LT,13741,44342,Silver Ice Metallic,Jet Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 Limited,13848,43957,Billet Silver Metallic Clearcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 Limited,13880,48597,Crystal Blue Pearlcoat,Black,Moses Factory Outlet,Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Toyota Corolla LE Eco Premium,13994,55066,Slate Metallic,Black,Astorg Auto of Charleston,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Chrysler 200 Limited,13995,46392,Bright White Clearcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Nissan Altima 2.5,14450,40989,Brilliant Silver,Black,Moses Cadillac Buick GMC,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Toyota Corolla LE,14554,14925,Barcelona Red Metallic,Ash,Astorg Auto of Charleston,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chrysler 200 C,14628,49734,Phantom Black Tri-Coat Pearl,Linen/Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2017 Hyundai Elantra SE Sedan,14672,34036,Electric Blue Metallic,Gray,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Toyota Corolla L,14760,44264,Green,Gold,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chevrolet Malibu LT,14893,43070,Silver Ice Metallic,Jet Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chevrolet Malibu LTZ,14962,45212,Champagne Silver Metallic,Jet Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Kia Optima LX,15116,27193,Satin Metal,Beige,Moses Ford Lincoln,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Chevrolet Malibu LT,15195,21250,White,Jet Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Toyota Camry SE,15965,41257,Attitude Black,Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2017 Hyundai Sonata SE,16404,21041,Shale Gray Metallic,Gray,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Chevrolet Impala LT,16425,36512,White,Jet Black,Moses Factory Outlet,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Toyota Camry SE,16449,41413,Celestial Silver Metallic,Black,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Honda Accord Sport Sedan,16912,48016,White Orchid Pearl,Black,Astorg Auto of Charleston,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2014 Lincoln MKZ,16995,55984,Black,Charcoal Black,Moses Cadillac Buick GMC,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Dodge Charger SXT,17141,41381,Billet Clearcoat,Black,C & O Chevrolet,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2017 Chevrolet Impala LT,21344,16489,Silver Ice Metallic,Jet Black,C & O Chevrolet,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2012 Mercedes-Benz E350 Sport,21426,59345,Black,NA,Moses Factory Outlet,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Certified 2017 Buick Regal Sport Touring,21695,16694,Graphite Gray Metallic,Black,Moses Cadillac Buick GMC,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2017 Ford Fusion Titanium,22315,26120,Burgundy Velvet Metallic Tinted Clearcoat,Ebony,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2013 Jaguar XF,22540,38487,Ebony,London Tan,C & O Chevrolet,8 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2017 Buick Regal Sport Touring,22569,15252,Black Onyx,Ebony With Ebony,Moses Factory Outlet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Mercedes-Benz C300 Sport Sedan,35594,8201,Palladium Silver Metallic,Ash/Black,Astorg Auto of Charleston,7 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Mercedes-Benz C300 4MATIC Sedan,36594,8267,Lunatbluemetallic,Silk Beige,Astorg Auto of Charleston,7 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Mercedes-Benz C300 4MATIC Sedan,39224,8107,Palladium Silver Metallic,Black,Astorg Auto of Charleston,7 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Mercedes-Benz C300 4MATIC Sedan,39313,9204,Black,Silk Beige,Astorg Auto of Charleston,7 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2016 Mercedes-Benz C300 4MATIC Sedan,39313,7756,Diamond White Metallic,Black,Astorg Auto of Charleston,7 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Certified 2015 Cadillac CTS Vsport Sedan,39850,10995,Black,Jet Black With Jet Black Accen,Moses Cadillac Buick GMC,8 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,23 photos,1 video,sedan
Used 2013 BMW 650i Gran Coupe xDrive,41994,39704,Space Gray Metallic,Black,Astorg Auto of Charleston,8 Speed Shiftable Automatic,8 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Lexus LS 460 AWD,55454,36663,Obsidian,Black,Astorg Auto of Charleston,8 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2010 Chrysler 300 Touring,7725,111344,Brilliant Black Crystal Pearl,Dark Slate Gray,Moses Factory Outlet,4 Speed Automatic,6 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2011 Chevrolet Cruze LT,8599,97578,Black Granite Metallic,Jet Black,C & O Chevrolet,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Used 2015 Dodge Dart SXT,11796,43734,Billet Silver Metallic Clearcoat,Black,Moses Factory Outlet,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
