Used 2002 Volkswagen Passat GLX 4Motion Sedan,5950,147379,Blue Silver Metallic,Black W/Leather Seat Trim,Frankman Motor Company,5 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,40 photos,NA,sedan
Used 2007 Buick Lucerne CXL V8,10950,75882,Crimson Pearl Tintcoat,Cocoa/Cashmere W/Leather-Appoi,Frankman Motor Company,4 Speed Automatic,8 Cylinder,Four Door Sedan,40 photos,NA,sedan
Used 2015 Nissan Altima 2.5 S,13975,51053,Brilliant Silver,Charcoal W/Cloth Seat Trim,Frankman Motor Company,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,40 photos,NA,sedan
Used 2016 Hyundai Sonata SE,14975,37870,Quartz White Pearl,Gray W/Yes Essentials Premium,Frankman Motor Company,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,32 photos,NA,sedan
Used 2016 Ford Fusion SE,14975,42816,Magnetic,Ebony W/Cloth Front Bucket Sea,Frankman Motor Company,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,38 photos,NA,sedan
Used 2015 Chevrolet Malibu LTZ,15975,42060,Butte Red Metallic,Jet Black/Brownstone W/Leather,Frankman Motor Company,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,32 photos,NA,sedan
Used 2015 Chevrolet Cruze LTZ,15975,36669,Autumn Bronze Metallic,Cocoa/Light Neutral W/Meridian,Frankman Motor Company,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,39 photos,NA,sedan
Used 1995 Chevrolet Impala SS,24975,4973,Black,Gray,Frankman Motor Company,4 Speed Automatic,8 Cylinder,Four Door Sedan,43 photos,NA,sedan
Used 2014 Dodge Charger SXT,25975,21758,Bright White Clearcoat,Black W/Base Cloth Seats Or Ba,Frankman Motor Company,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,42 photos,NA,sedan
Used 2015 Cadillac CTS Performance AWD Sedan,35975,11964,Crystal White Tricoat,Kona Brown W/Jet Black Accents,Frankman Motor Company,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,43 photos,NA,sedan
Used 2010 Pontiac G6 Sedan,9450,82580,Summit White,Ebony W/Vortex Cloth Seat Trim,Frankman Motor Company,Automatic,4 Cylinder,Four Door Sedan,37 photos,NA,sedan
Used 2010 Cadillac CTS Performance Sedan,12950,74895,Tuscan Bronze Chromaflair,Cashmere W/Cocoa Accents W/Lea,Frankman Motor Company,6 Speed Automatic,6 Cylinder,Four Door Sedan,42 photos,NA,sedan
Used 2014 Ford Fusion SE,14490,28811,Ingot Silver,Grey,Sioux Falls Ford Lincoln,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,10 photos,1 video,sedan
Used 2013 Volvo S60 T5 Premier,19975,42823,Electric Silver Metallic,Off-Black W/Leather Seating Su,Frankman Motor Company,6 Speed Shiftable Automatic,5 Cylinder Turbo,Four Door Sedan,39 photos,NA,sedan
Used 2013 Subaru Impreza WRX Sedan,23975,45263,Crystal Black Silica,Carbon Black W/Checkered Cloth,Frankman Motor Company,5 Speed Manual,4 Cylinder Turbo,Four Door Sedan,37 photos,NA,sedan
Used 2008 Pontiac Grand Prix,6950,132327,Purple Haze Metallic,Ebony W/Cloth Seat Trim,Frankman Motor Company,4 Speed Automatic,6 Cylinder,Four Door Sedan,38 photos,NA,sedan
Used 2006 Buick Lucerne CXS,7950,129609,Black Onyx,Ebony W/Custom Perforated Leat,Frankman Motor Company,4 Speed Automatic,8 Cylinder,Four Door Sedan,43 photos,NA,sedan
Used 2012 Chevrolet Cruze Eco,8750,88683,Black Granite Metallic,Jet Black W/Premium Cloth Seat,Frankman Motor Company,6 Speed Manual,4 Cylinder Turbo,Four Door Sedan,33 photos,NA,sedan
Used 1996 Cadillac Fleetwood Brougham Sedan,11975,63965,White,Tan,Frankman Motor Company,4 Speed Automatic with Electronic Overdrive,8 Cylinder,Four Door Sedan,57 photos,NA,sedan
Used 2008 Toyota Avalon Touring,11975,71436,Blizzard Pearl,Dark Charcoal W/Leather Seat T,Frankman Motor Company,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,37 photos,NA,sedan
Used 2011 Dodge Avenger Lux,12750,32600,Black Clearcoat,Black W/Leather Trimmed Bucket,Frankman Motor Company,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,40 photos,NA,sedan
Used 2014 Subaru Legacy 2.5i Premium,14475,81282,Venetian Red Pearl,Black W/Cloth Upholstery,Frankman Motor Company,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,35 photos,NA,sedan
Used 2012 Volvo S60 T5,16975,50807,Ice White,Soft Beige W/Leather Seating S,Frankman Motor Company,6 Speed Shiftable Automatic,5 Cylinder Turbo,Four Door Sedan,41 photos,NA,sedan
Used 2013 Acura TSX Special Edition Sedan,18975,26285,Milano Red,Ebony W/Lux Suede Seat Trim,Frankman Motor Company,5 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,50 photos,NA,sedan
Used 2013 Cadillac ATS 3.6 Performance AWD Sedan,22975,27360,Summer Gold Metallic,Jet Black W/Jet Black Accents,Frankman Motor Company,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,44 photos,NA,sedan
Used 2013 Dodge Charger SXT,22975,15404,Phantom Black Tri-Coat Pearl,Tan/Black W/Base Leather Seats,Frankman Motor Company,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,44 photos,NA,sedan
Used 2014 Dodge Charger SXT,23975,9124,Granite Crystal Metallic Clearcoat,Black W/Base Cloth Seats Or Ba,Frankman Motor Company,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,53 photos,NA,sedan
Used 2014 Toyota Avalon XLE Touring,23975,20983,Attitude Black,Black W/Leather Seat Trim,Frankman Motor Company,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,54 photos,NA,sedan
Used 2014 Mercedes-Benz C300 Sport Sedan,25975,10579,Palladium Silver Metallic,Almond/Beige W/Mb-Tex Upholste,Frankman Motor Company,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,48 photos,NA,sedan
Used 2012 Subaru Impreza WRX Limited,25975,89599,Dark Gray Metallic,Black Cloth,Frankman Motor Company,6 Speed Manual,4 Cylinder Turbo,Four Door Sedan,42 photos,NA,sedan
Used 2014 Lexus ES 350,27975,11436,Deep Sea Mica,Parchment W/Nuluxe,Frankman Motor Company,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,49 photos,NA,sedan
Used 2015 Chrysler 300 C AWD,27975,9147,Ivory Tri-Coat Pearl,Linen/Black W/Leather W/Perfor,Frankman Motor Company,8 Speed Automatic,6 Cylinder,Four Door Sedan,51 photos,NA,sedan
