Used 2014 Ford Fusion SE,13850,29898,Blue,NA,Jack Demmer Ford,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,26 photos,1 video,sedan
Used 2007 Lincoln Town Car Executive,25999,64099,Black Clearcoat,Black,Taylor Ford,4 Speed Automatic with Electronic Overdrive,8 Cylinder,Four Door Sedan,38 photos,1 video,sedan
Certified 2015 Lincoln MKZ AWD,26988,8868,Red,Black,Hines Park Lincoln,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,40 photos,1 video,sedan
Certified 2017 Lincoln MKZ AWD Reserve,35988,4940,Black,Black,Hines Park Lincoln,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,40 photos,1 video,sedan
Used 2014 Lexus LS 460 AWD,48998,16975,Obsidian,Black/Saddle Tan,Meade Lexus of Southfield,8 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,40 photos,1 video,sedan
Used 2017 Ford Fusion SE AWD,22751,12900,Magnetic,Ebony,Feldman Chevrolet of Livonia,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,25 photos,1 video,sedan
Certified 2016 Lincoln MKZ Hybrid,26988,10782,Gray,Black,Hines Park Lincoln,Continuously Variable Automatic,Hybrid,Four Door Sedan,41 photos,1 video,sedan
Used 2007 Ford Focus SE,4697,93111,Infra-Red,Charcoal/Flint,Quattro Motors,Automatic,4 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2006 Ford Focus SE,4977,77630,Liquid Grey Metallic,Light Flint,Quattro Motors,Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2005 Chevrolet Cobalt Sedan,4999,106738,Ultra Silver Metallic,Ebony,Matthews- Hargreaves Chevrolet,4 Speed Automatic with Overdrive,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2007 Chevrolet Cobalt LS Sedan,5399,67413,Summit White,Gray,Matthews- Hargreaves Chevrolet,4 Speed Automatic with Overdrive,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2002 Lincoln Town Car Executive,6800,73623,White,NA,Jack Demmer Ford,4 Speed Automatic with Electronic Overdrive,8 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2010 Hyundai Elantra SE,7995,17333,Black,Black With Premium Cloth Seati,Hodges Subaru,4 Speed Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2010 Mercury Milan,8495,66323,Black,NA,Hodges Subaru,NA,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2006 BMW 325xi Sedan,8977,80167,Sparkling Graphite Metallic,Black,Quattro Motors,Automatic,6 Cylinder,Four Door Sedan,17 photos,1 video,sedan
Used 2012 Chevrolet Cruze LS,9997,23248,Black Granite Metallic,Jet Black/Medium Titanium,Quattro Motors,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,20 photos,1 video,sedan
Used 2014 Ford Focus SE Sedan,10300,28066,Tuxedo Black,Charcoal Black,Dick Scott Chrysler Dodge Jeep Ram,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,30 photos,1 video,sedan
Used 2014 Ford Focus S Sedan,10400,23820,White,NA,Jack Demmer Ford,5 Speed Manual,4 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Certified 2014 Nissan Sentra SV,11987,28141,Graphite Blue,Charcoal,All Pro Nissan of Dearborn,Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Certified 2014 Ford Focus SE Sedan,12798,3019,Tuxedo Black Metallic,Charcoal Black,Pat Milliken Ford,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,39 photos,1 video,sedan
