Used 2008 Mercedes-Benz C300 Sedan,11000,82558,Silver,Gray,TCA Auto,7 Speed Automatic,6 Cylinder,Four Door Sedan,26 photos,1 video,sedan
Used 2016 Ford Focus SE Sedan,13000,7215,Red,Black,TCA Auto,6 Speed Automatic,4 Cylinder,Four Door Sedan,26 photos,1 video,sedan
Used 2010 Mercedes-Benz E350 Sedan,18000,69605,Black,Black,TCA Auto,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,29 photos,1 video,sedan
Used 2006 Saturn ION Level 3 Sedan,4000,87160,Red,Gray,TCA Auto,4 Speed Automatic,4 Cylinder,Four Door Sedan,22 photos,NA,sedan
Used 2008 Dodge Charger SXT,10995,65722,Red,Black,Honolulu Volkswagen,4 Speed Automatic,6 Cylinder,Four Door Sedan,23 photos,NA,sedan
Used 2011 BMW 328i Sedan,14995,51957,NA,12046 / 14407,Honda Windward,6 Speed Automatic,6 Cylinder,Four Door Sedan,22 photos,NA,sedan
Used 2013 Subaru Impreza WRX Sedan,23000,48665,Blue,Black,TCA Auto,5 Speed Manual,4 Cylinder Turbo,Four Door Sedan,25 photos,1 video,sedan
Used 2016 Audi A3 1.8T Premium Sedan,29771,4979,Lotus Gray Metallic,Black,Audi Hawaii,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,27 photos,NA,sedan
Used 2014 BMW 535i Sedan,34995,22745,Mineral,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,26 photos,NA,sedan
Used 2017 BMW M3,68995,130,Alpine White,NA,BMW of Honolulu,Manual,6 Cylinder Turbo,Four Door Sedan,29 photos,NA,sedan
Used 2004 Acura TSX,7995,174219,Premium White Pearl,4449 / 6155,Honda Windward,5 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,26 photos,NA,sedan
Used 2008 BMW 528i Sedan,10903,75636,Gold,Beige,Honolulu Ford,Automatic,6 Cylinder,Four Door Sedan,19 photos,1 video,sedan
Used 2011 Hyundai Elantra GLS,10904,42653,Gold,NA,Honolulu Ford,Automatic,4 Cylinder,Four Door Sedan,18 photos,1 video,sedan
Used 2008 Lexus LS 460,18000,83993,Blue,Tan,TCA Auto,8 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,26 photos,1 video,sedan
Used 2011 Subaru Impreza WRX Sedan,22000,61000,White,Black,TCA Auto,5 Speed Manual,4 Cylinder Turbo,Four Door Sedan,22 photos,NA,sedan
Used 2014 Lincoln MKS,23788,28965,White,NA,Honolulu Ford,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,20 photos,1 video,sedan
Certified 2014 Ford Taurus SHO AWD,26988,22833,Silver,Aluminum,Honolulu Ford,6 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,20 photos,2 videos,sedan
Used 2013 BMW 335i Sedan,28000,21530,White,Gray,TCA Auto,8 Speed Automatic,6 Cylinder Turbo,Four Door Sedan,38 photos,1 video,sedan
Used 2014 BMW 335i Sedan,30995,44986,Mineral,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,28 photos,NA,sedan
Used 2008 Mazda MAZDA3 i Touring Value Sedan,5978,74210,Golden Sand,Charcoal / Black Cloth,Honda Windward,4 Speed Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2003 Mazda Protege,5988,61001,Silver,NA,Aloha Auto Group,NA,4 Cylinder,Four Door Sedan,25 photos,NA,sedan
Used 2007 Toyota Yaris Sedan,7991,58219,Pacific Blue Metallic,Bisque,Servco Lexus,Automatic,4 Cylinder,Four Door Sedan,17 photos,NA,sedan
Used 2004 Lexus LS 430,9991,100208,Crystal White,Ash,Servco Lexus,6 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,18 photos,NA,sedan
Used 2005 Lexus ES 330,11991,44099,Crystal White,Cashmere,Servco Lexus,5 Speed Automatic,6 Cylinder,Four Door Sedan,18 photos,NA,sedan
Used 2012 Chevrolet Malibu LT,11995,47829,Silver,Black,Honolulu Volkswagen,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,26 photos,NA,sedan
Used 2007 Lexus IS 250,12991,78598,Breakwater Blue Metallic,Black,Servco Lexus,Automatic,6 Cylinder,Four Door Sedan,19 photos,NA,sedan
Used 2014 Hyundai Elantra Limited Sedan,12995,44638,Gray,NA,New City Nissan,6 Speed Automatic,4 Cylinder,Four Door Sedan,10 photos,1 video,sedan
Used 2013 Hyundai Sonata SE,14229,26259,Harbor Gray Metallic,Gray,MINI OF HAWAII,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,53 photos,NA,sedan
Used 2014 Toyota Corolla,15485,9425,Blue,Steel Gray,Honda Windward,NA,4 Cylinder,Four Door Sedan,26 photos,NA,sedan
Used 2015 Honda Civic LX Sedan,15995,8304,Urban Titanium,Beige,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
